"","species_common.x","species_latin","Family","Qu.1","RationaleQu1","Qu.2","RationaleQu.2","Qu.3","RationaleQu.3","Qu.4","RationaleQu.4","Global environmental risk","AISR_Listing","Secondary_Assessment","Science_Support","Notes.x","species_common.y","taxa","listed_elsewhere","pet_aquarium","Aquaculture","rec_fish","biofouler","Bilge Water","water_garden","possible_to_overwinter","suitable_hab_suspected","Notes.y"
"169","Silver carp","Hypophthalmichthys molitrix","Cyprinidae",2,"Species main avenue of introduction is through intentional introductions to aquaculture pond to control phytoplankton, after which the species may escape the ponds during flood periods or if enclosure screens are damaged and then naturally dispeersal. The species is able to naturally disperse distances greater than 1km/year and is found throughout the Great Lakes system, which is connected through a series of canals and locks (Bonham & Kurwie 2019). Although this species is expected to spread widely if intrdocued the risk of initial introduction is lower for this vectors because aquaculture ponds and species brought into aquaculture facilities are regulated through the Introductions & Transfer permitting process and aquauclture site plans.",3,"H. molitrix inhabits a variety of freshwater ecosystems and could inhabit both urbanized and natural habitats (Bonham & Kurwie 2019). Since the species primary method of introduction is through aquaculture introductions, it is likely that if the species was permitted for use in aquaculture that any escapes for these facilities would result in an introduction to areas important for habitat value and recreational fishing due to many aquauclture sites occurring outside city centers (S. Kingsbury pers. comm.).",3,"H. molitrix is noted for competition with freshwater clams, larval fish, bigmouth buffalo, and paddlefish in the US (Bonham & Kurwie 2019). Also, the H. molitrix can depleete plankton populations which affects other planktivorous species such as juvenile fish and mussels (Bonham & Kurwie 2019).",3,"H. molitrix's over consumption of plankton populations, especially is H. molitrix occurs at high densities, can impact trophic structures of and nutrient cycling (Bonham & Kurwie 2019).",11,"Yes","No","Yes","More advice is needed on the social science side, specifically what is the proportion of aquaculture facilities using carp as biocontrol?","Silver carp","Fish","AISR","No","Yes","No","No","No","Yes","Yes","Yes","Does not have a climae match assessment"
"170","Small Duckweed","Lemna minuta","Araceae",2,"Dispersion potential is high, as there are multiple vectors that may contribute to its spread (i.e. ornamental and water garden, as well as water fowl, and surface drift over short distances)",2,"It is likely that this species has the ability to colonize high value habitat, and as it is known to spread easily and cause widespread issues, it is likely to impact these areas as well.",2,"The species forms floating mats which may have a negative impact on wetland ecosystems by suppressing submerged macrophyte species. It is known to outcomete native species easily as it use high intensity light better than most similar plants.",3,"It affects the ecology of its habitat by forming mats on the water surface, reducing sunlight penetration and oxygen exchange. These impacts are considered moderate to severe",9,"Yes","Yes","Yes","Could be combined with other matting plants as an overall CSAS question/request for info","Small Duckweed","Plant",NA,"No","Yes","No","No","Yes","Yes","Yes","Yes",NA
"171","Small-flowered rose","Rosa micrantha","
Rosaceae",0,"not a riparian or aquatic plant",0,"not a riparian or aquatic plant",0,"not a riparian or aquatic plant",0,"not a riparian or aquatic plant",0,"No","No","No",NA,"Small-flowered rose","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes","does not grow in or near water and has no aquatic lifestage"
"172","South American waterweed","Elodea callitrichoides","Hydrocharitaceae",1,"The literature sourced for this assessment mostly referred to E. muttallii and/or E. canadensis, both of which are highly invasive species. Josefsson (2011) did noted attempted introductions of E. callitrichoides to Austria, Germany, and Sweden, none of which became established. E. callitrichoides is native to temperate South America and may be limited in dispersal based on temperature thresholds.",1,"No literature indicated this species was established in areas of conservation value. However, similar Elodea spp. Are well established in conservation areas.",1,"Unlikely to establish in canada and therefore, unlikely to impact native species.",1,"Unlikely to establish in canada and therefore, unlikely to impact ecosystem function.",4,"No","No","Yes","Prehaps a multi-species CSAS on Elodea spp. That would also cover E. callitrichoides would identify which Elodea could be introduced and established in Canada.","South American waterweed","Plant","USFW","Yes","No","No","Yes","No","Yes","Yes","uncertain",NA
"173","South European nase","Protochondrostoma genei","Cyprinidae",0,"d.d.",0,"d.d.",0,"d.d.",0,"d.d.",0,"No","No","No","Species information is extremely limited, only one paper on Web of Knowledge available, 27 observation on iNaturalist, no risk assessments available, and limited information of FishBase.","South European nase","Fish","USFW","No","Yes","Yes","No","No","No","Yes","uncertain",NA
"174","Spatulaleaf loosestrife","Lythrum portula","Lythraceae",1,"Limited range currently in western N America. No signs of rapid expansion of range",1,"The species has not shown a propensity to invade senstive habitats.",1,"Does not seem to have strong effects on native species, except where native species might also be creeping ephemeral pond plants which might be outcompeted.",1,"unlike it's purple cousin, this species does not seem to exert overall negative effects on the ecosystem.",4,"No","No","No",NA,"Spatulaleaf loosestrife","Plant",NA,"No","No","No","No","Yes","Yes","Yes","Yes",NA
"175","Spiny cocklebur","Xanthium spinosum","Asteraceae",3,"X. spinosum is a highly invasive plant classified as one of the world’s worst weeds. It is a common agricultural and pasture weed and a declared noxious species in many countries. It has spread widely, via its spiked seeds which attach to animals and clothing or are a contaminant of hay, forage and other agricultural products. Accidental introduction very likely due to widespread distribution. The fruits float and are readily dispersed by water and can spread rapidly along watercourses.",2,"Prefers moist soil. Grows along roads and in disturbed areas and abandoned fields, also being sometimes common around waterholes and along floodplains, canals, ditches, creek flats, river terraces, and other moist places. It can also be common weed in cultivated fields, stock yards and abandoned settlements. Can adapt to a range of climatic conditions and to thrive where the soil has been disturbed, allowing it to grow in pasture, wasteland, sheep camps, as well as coastal areas, watercourses, dam banks and floodplains.",3,"X. spinosum can compete both directly and indirectly with native species, alter habitats and, when present on river banks, can increase soil erosion and affect water flow and quality. Major host of pest species Russelliana solanicola (South American potato psyllid). It competes with agricultural crops such as soybeans and cotton, leading to a drastically reduced yields. In the seedling stage, X. spinosum is poisonous to animals as the seeds contain hydroquinone, contaminating animal forage.",3,"Modification of hydrology, negatively impacts animal health and agriculture, reduced native biodiversity, habitat alteration and modification of successional patterns.",11,"Yes","No","Yes","There is significant data on this species as a noxious weed, but it would be beneficial to gain more information on the impacts to aquatic habitats (most of the literature is from a terrestrial habitat and agricultural impact lens)","Spiny cocklebur","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes",NA
"176","Spiny naiad","Najas marina","Hydrocharitaceae",3,"Species able to spread hundreds of kilometers through seed dispersal by mallard ducks (Cao & Berent 2023). N. marina can also spread by fouling boats and fishing gear or through connected systems via seed dispersal and plant fragmentation (Cao & Berent 2023).",3,"Species' dispersal capabilities may lead to introduction to conservation areas.",0,"d.d.",0,"d.d.",6,"No","No","Yes","This would be up to Sicence if there is enough information available to complete an impact assessment. It may involve fieldwork to visit Great Lakes locations where species is established to determine potential impacts.","Spiny naiad","Plant","USFW","No","No","No","Yes","Yes","Yes","Yes","Yes",NA
"177","Spiny water flea","Bythotrephes longimanus","Cercopagididae",3,"B. cederstroemi can be introduced to new areas via fouling fishing lines and gear (Leibig et al. 2023). However, the species establishment in Nova Scotia or PEI may be limited to a few lakes due to most lakes being relatively shallow. Species may find more suitable lakes in New Brunswick where larger rivers and deeper lakes exist.",3,"The species is established in all the Great Lakes and likely occassionally overlaps with areas of conservation value but Leibig et al. (2023) indicated that most Great Lakes have low B. cederstroemi population densities.",2,"Species consumes 75% of body-weight in zooplankton daily, which impacts the abundance of native species. Also, B. cederstroemi is a prey species for multiple native fish species including bass, shiners, salmon, chub, whitefish, rainbow smelt, herring, sculpins, perch, and walleye (Leibig et al. 2023). Therefore, it is unclear what the level of impact would be if B. cederstroemi were introduced to Atlantic Canada.",2,"Declines in zooplankton are known to be especially detrimental to ecosystem function as food webs can be irreversibly changed.",10,"Yes","No","No",NA,"Spiny water flea","Arthropod","AISR, USGS","No","No","No","Yes","Yes","No","Yes","Yes",NA
"178","Spoonleaf arrowhead","Sagittaria platyphylla","Alismataceae",2,"Species is available for purchase within water garden trade. The species could spread via seeds and vegetatively via corms (Center for Invasive Species and Ecosystem Health n.d.).",0,"d.d.",0,"d.d.",2,"There is a lack of information available on this species, but  the Center for Invasive Species and Ecosystem Health (n.d.) indicates that the plant grows in dense colonies (up to 5 ft tall), which restricts water flow, increases sedimentation, and can cause regional flooding.",4,"No","No","Yes","A literature review is needed to determine what information is available on this species and more clearly identify gaps.","Spoonleaf arrowhead","Plant",NA,"No","No","No","No","No","Yes","uncertain","uncertain",NA
"179","Spotted halfbarbel","Hemibarbus maculatus","Cyprinidae",3,"H. maculatus has been accidentally introduced together with Chinese carp fry from the Yangtze River, China to USSR (Welcomme, 1988). It has partially displaced local species. It shows more rapid growth and higher fecundity than under native conditions. Natural dispersal rate is high.",3,"Lakes, rivers, reservoirs, streams and creeks with moderate flow and sandy bottoms",3,"H. maculatus has been recorded to be a serious competitor to and threat for the native benthic fishes, where it is introduced . When it was, for example, introduced from the Yangtze River, China in the USSR, it has partially displaced local species. One of the characteristics of this species that make it a successful invader is the fact that it shows more rapid growth and higher fecundity under introduced compared to native conditions.",3,"Modification of natural benthic communities, negatively impacts aquaculture/fisheries, reduced native biodiversity, threat to/ loss of native species",12,"Yes","No","No","There is sufficient scientific evidence to support listing and to understand ecosystem impacts of this species.","Spotted halfbarbel","Fish",NA,"No","No","No","No","No","No","Yes","Yes",NA
"180","Starry stonewort","Nitellopsis obtusa","Characeae",3,"N. obtusa can reproduce sexually or asexually and can spread using fragments or bulbils. Furthermore, N. obtusa can spread long distances via endozoochory. Lastly, oospores can remain dormant for long periods in sediments and can spread that way too (Larkin et al. 2018).",2,"Although establishment in conservation focused areas was not specifically reported, it is expected that either N. obtusa currently occupies some areas of conservation value (especially shallow marsh areas important to migratory birds) or will spread to these areas. Notably, Larkin et al. (2018) recongized that N. obtusa is reported in multiple areas around the Great Lakes and St. Lawerence but these reports have yet to be confirmed.",3,"Like many aquatic invasive plants, N. obtusa is an ecosystem engineer impacting light penetration, nutrient cycling, and species richness (Larkin et al. 2018).",3,"Due to impacts on phyiscal habitat structure and nutrient cycling, N. obtusa is expected to impact native species diveristy, food web dynamics, spcies richness, and ecosystem functioning.",11,"Yes","No","Yes","A species distribution model would be helpful in predicting suitable habitat for this species.","Starry stonewort","Plant","OISC, USGS","No","No","No","Yes","Yes","Yes","Yes","Yes",NA
"181","Stone loach","Barbatula barbatula","Balitoridae",1,"No indication of this species being introduced outside of native range in northern and central Europe.",1,"It seems that oriental weather loach is the main concern. I have not tracked down any reports of this species invading ecosystems.",1,"d.d.",1,"d.d.",4,"No","No","No","I'm confused as to why this species is listed under the AISR. How was it decided to add this species? I haven't found anything indicating this species is a threat to Canada.","Stone loach","Fish","AISR, FB","Yes","Yes","Yes","No","No","No","Yes","Yes",NA
"182","Stone moroko","Pseudorasbora parva","Cyprinidae",2,"It seems like the likelihood of this species to arrive in Canada is relatively low. It isn't sold in North America (*should confirm this claim) and is unlikely to survive in ballast water due to ballast water transfer due to low salinity tolerances (Fusaro et al. 2023). Possibly, P. parva could contaminate other orenmental fish stocking.",2,"There was no literature located that suggested this species occupied areas of high conservation value. P. parva is known to have high plasticity and could adapt to a variety of freshwater habitats in North America, some of which would overlap with native conservation species.",3,"P. parva is consider a highly invasive species in Europe due to the species high reproductive rate, potential to host parasites, increased inter-species competition, and alterations to food webs (Fusaro et al. 2023).",3,"If introduced to North America, P. parva is expected to alter food webs. P. parva may alter predator-prey dynamics. Mulitple native fish would prey on P. parva, which can infect predator.",10,"Yes","No","Yes","It would be beneficial to quantify the likelihood of arrival/introduction of this species.","Stone moroko","Fish","USFW","Yes","No","No","No","No","No","Yes","Yes",NA
"183","Sunbleak","Leucaspius delineatus","Cyprinidae",3,"Aquaculture and Pet Trade hitchhiker. L. delineatus has been introduced as a contaminant of stocked fish, and has been translocated on the keep nets of anglers. The sticky eggs can withstand exposure to air for a remarkably long time. Deposited on water plants, they sometimes stick to the feet of ducks and similar birds and are carried by these to ephemeral ponds. Initial dispersal of L. delineatus from their original location in Hampshire is believed to have occurred via the River Test, which was used by the fish as a conduit to disperse and subsequently colonise lakes downstream.",3,"They are found between weed beds in shallow pools and creeks, shallow lakes, peat and clay excavations and canals.",2,"There have been few studies on the impacts of invasive populations of this species. Pinder and Gozlan (2003) suggest there is considerable potential for their depredation of the eggs of other fishes. Leu et al. (2009) reported their predation on the eggs of native amphibians. In the UK, sunbleak have been found to host the non-native parasite Ergasilus briani, raising concerns that they could aid its spread (Beyer, 2008).",1,"Lacking research but suspected to reduce biodiversity",9,"Yes","No","Yes","There are considerable gaps in knowledge on the ecological consequences of the invasion (i.e. impacts) of L. delineatus.","Sunbleak","Fish",NA,"Yes","No","Yes","No","No","Yes","Yes","Uncertain",NA
"184","Tape Grass","Vallisneria spiralis","Hydrocharitaceae",3,"The use of the species as an aquarium plant, together with its ability to spread vegetatively, is considered to have facilitated its spread and invasiveness. Spread through aquarium waste, intentional planting and dispersal of plant fragments and seeds",3,"Static or flowing freshwater habitats, including lakes, ponds, water courses, and wetlands (areas of high conservation value)",3,"V. spiralis can form dense beds which displace other species of submerged hydrophytes (MAF Biosecurity New Zealand, 2010). In Polish lakes, this is attributed to its clonal mode of propagation and its maximum growth in autumn when native species are dormant (Hutorowicz, 2006; Hutorowicz and Hutorowicz, 2008).",3,"V. spiralis can alter ecosystem services and impede water flow, affect drainage, choke hydro turbines, and impact on navigational, recreational and agricultural use of water bodies. It disrupts transportation in aquatic systems and alters habitat structure and function. Impacts may be difficult to reverse.",12,"Yes","No","No","There is sufficient scientific evidence to support listing and to understand ecosystem impacts.","Tape grass","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes","salt water?/ freshwater but tolerates? Unsure"
"185","Tench","Tinca tinca","Cyprinidae",2,"T. tinca has a confusing invasion history. In some locations where the species was intentionally stocked in the US, the species was unsuccessful at establishing long-term populations. However, in Norway this is the most common non-indigenous fish and, appartently, T. tinca found in the St. Lawerence is growing rapidly (Avlijas et al. 2018).",2,"It is unclear whether this species routinely occupies conservation areas, but the species' wide tolerance to environmental parameters may indicate that it has the potential to overlap with conservation habitat (Avlijas et al. 2018). In Nova Scotia, the species may not be able to establish and likely would never become widely established due to pH limits (pH <7 causing juvenile mortality, pH <5.5 halts reproduction).",3,"T. tinca hosts multiple parasites and diseases that impact waterfowl, other cyprinids, and aquaculture. Also, T. tinca can limit invertebrate abundance causing trophic cascades. T.tinca, like many introduced cyprinids, negatively impacts water quality through feeding behaviours, which can lead to increased turbidity and eutrophication (Avlijas et al. 2018).",3,"Due to impacts on ecosystem food web structures and water quality, it is expected that T. tinca would adversely impact ecosystem functioning.",10,"Yes","No","Yes","This species is already present in Canada and has grown in abundance, but the presence of suitable habitat and the reason behind the failed stocking attempts in the US are still unclear.","Tench","Fish","AISR, USGS","No","Yes","Yes","No","No","Yes","Yes","uncertain",NA
"186","Three-lips","Opsariichthys uncirostris","Cyprinidae",1,"Very little information was available on this species. It seems that the species is locally invasive, spreading slightly outside its native range in Japan due to intentional stocking but no further information on invasion elsewhere was located (National Institute for Environmental Studies n.d.).",1,"No information suggested an overlap between invaded ecosystems and habitat of conservation avlue.",1,"Advsers ecosystems impacts were no reported but some biological plasticity was reported in the lierature which may afford the species some compeitive advantages (Iguchi et al. 2019).",1,"No impacts on ecosystem functioning were reported.",4,"No","No","No",NA,"Three-lips","Fish","USFW","No","Yes","No","No","No","No","uncertain","uncertain",NA
"187","Toothcup","Rotala ramosior","Lythraceae",1,"Listed as a species at risk in Ontario and British Columbia. Northern range extends into Canada but is rare with current climate conditions. No literature discusses invasiveness except one mention of it becoming invasive in Taiwan.",2,"peaty or sandy meadows and pond edges",0,"Impacts not discussed, only focus on impacts to this plant as a species at risk in Canada",0,"Alterations not discussed, only focus on the impacts to this plant as a species at risk in Canada",3,"No","No","No","Based on the literature does not appear to be a species of concern and is considered a species at risk in parts of Canada.","Toothcup","Plant",NA,"No","No","No","No","Yes","Yes","uncertain","uncertain",NA
"188","Tubenose goby","Proterorhinus semilunaris","Gobiidae",2,"P. semilunaris has been established in the Great Lakes for 30 years but remains rare/low abundance, suggesting the species is not rapidly growing or expanding its invaded range. The presence of round goby may inhibit population growth of tubernose goby (Fuller et al. 2023). Therefore, if the species was introduced to an area with suitable habitat (i.e. high macrophyte density, shallow, near-shore water) without the presnece of round goby, the species become more densely populated.Despite species instroduction likely restricted to shipping ballast water, it is possible that recreationla boat live wells and ballasts may introduce the species between QC and the Maritimes.",1,"No reports are made of P. semilunaris co-inhabiting conservation areas, likely due to low abundance of the species in North America and the species being threaten/endangered in native range (Fuller et al. 2023).",2,"Due to the species' low abundance, there is little evidence of P. semilunaris significantly impacting invaded ecosystems (Fuller et al. 2023). However, if the species became more abundant then impacts to invertebrates, benthic fish, and sport fish (through egg and larvae consumption) are anticpated.",1,"No evidence of P. semilunaris impacting ecosystem functioning in North America.",6,"No","No","Yes","Lack of evidence of impacts from this species does not mean that there are no impacts. Research on invaded ecosystem impacts is needed.","Tubenose goby","Fish","AISR, USFW","No","No","No","No","Yes","No","Yes","Yes",NA
"189","Tubificid worm","Potamothrix vejdovskyi","Tubificidae",2,"A near shore invert, with large populations in the great lakes, it has gone relatively unnoticed for almost a century. There is little to no evidence of range expansion, but it is a small species that could easily be part of ballast water, or raw materials being transported.",2,"This species has shown that it is capable of colonizing areas of high value.",1,"May possibly compete with other tube oligochaetes, but uncertain as it has been established so long in the great lakes going undetected for so long, there may be compounding factors.",1,"No sign that it has any outsized ecological impacts. Some studies even show that it has positive impacts on native worms.",6,"Yes","No","No","Unique case: creates monocultures and is severely under studied. Therefore, likely lacking data on ecosystem impacts.","Tubificid worm","Worm",NA,"No","No","No","No","Yes","No","yes","Yes",NA
"190","Utah chub","Gila atraria","Cyprinidae",2,"The species is locally invasive, expanding its range slightly outside of its native range within the mid-west USA. Fuller & Nico (2023), note that G. atraria will spread throughout connected systems. Most introductions resulted from bait bucket transfers.",2,"G. atraria is posed as a serious threat to least chub (Iotichthys phlegethontis) in Utah, which is a species being considered for listing as endangered (Fuller & Nico 2023).",2,"G. atraria impacts sport fish including trout, salmon, relict dace, and least chub (Fuller & Nico 2023).",2,"Based on the species impacts on fish species at multiple trophic levels, I would expect that there would be food web shifts if G. atraria was introduced to Nova Scotia.",8,"Yes","Yes","Yes","A study on long-range travel of citizens from the US to Canada (especially the Maritime for me :p ) would really help assess the risk of this species introduction.","Utah chub","Fish","AISR, USGS","No","No","Yes","No","No","No","Yes","uncertain",NA
"191","Vaseygrass","Paspalum urvillei","Poaceae",3,"Paspalum urvillei has been introduced in many countries to be used as a forage grass. Herbarium records suggest that P. urvillei was introduced to the United States sometime after the middle of the 19th century. Paspalum urvillei is also dispersed naturally by water and wind, and is unintentionally dispersed by hitchhiking in machinery, vehicles, footwear, contaminated grain and agricultural practices",2,"Requires moist, poorly draining soils that are saturated for more than 50% of the year. savannahs, disturbed areas, humid forests, roadsides, forest margins, closed forests, footpaths, parks, lawns, gardens, farmlands, ditches, swales, streambeds, wetlands, brackish waters, margins of lakes and meadows",3,"Forms dense stands and has a major effect over the lower strata of these habitats, displacing native species. Although P. urvillei is an occasional food source for some wildlife, it threatens a number of rare or endangered native species.",3,"Changed gene pool/ selective loss of genotypes, Damaged ecosystem services, Ecosystem change/ habitat alteration, Modification of successional patterns, Negatively impacts agriculture, Reduced native biodiversity",11,"Yes","No","No","There is sufficient scientific evidence to support listing and to understand ecosystem impacts of this species.","Vaseygrass","Plant",NA,"No","No","No","No","No","Yes","uncertain","Yes","A forage grass, but requires saturated soils at least 50% of the time and is known to establish in wetlands and riparian areas."
"192","Vendace","Coregonus albula","Salmonidae",3,"natural spread between different watercourses is typically limited by the high salinity of estuary waters. Dispersal downstream within a watercourse can be expected, even if the watercourse is regulated by dams. Upstream dispersal is limited by strong rapids and waterfalls. Spread through deliberate introductions has occurred through stocking plans, e.g. the stocking of vendace in Lake Inari and tributary waters. Sport fishers also sometimes use vendace as bait, and in the case of transport of live bait this may present a risk of introduction to non-native water systems. The risk of successful establishment is related to the receiving ecosystem. Vendace is a trophic specialist, and from the records it seems likely that the chance of establishment is higher in ecosystems similar to native ecosystems, and low in others.",3,"Vendace is typically found in open water habitats in lacustrine and estuarine environments, reflecting the zooplanktivorous foraging ecology.",2,"Vendace have been observed to reduce zooplankton diversity, resulting in smaller zooplankton species and smaller sizes of individual zooplankters (Bøhn and Amundsen,1998; Amundsen et al., 2009). They have also led to large reductions in densities of native planktivorous Coregonus lavaretus (Bøhn and Amundsen, 2001; Gjelland et al., 2007; Bøhn et al., 2008).",2,"Being an effective zooplanktivore, vendace may heavily reduce the zooplankton stock, in turn leading to reduced algal grazing by zooplankton (trophic cascade). This may aid eutrophication of the lake. However, vendace are sensitive to eutrophication, and the potential eutrophication effect from vendace zooplankton grazing is therefore limited.",10,"yes","yes","no",NA,"Vendace","Fish",NA,"No","Yes","No","No","No","No","Yes","Yes",NA
"193","Vimba","Vimba vimba","Cyprinidae",0,"d.d.",0,"d.d.",0,"d.d.",0,"d.d.",0,"No","No","No","Why is this species listed in AISR Part 2? Where did the information to conduct the assessment come from?","Vimba","Fish","AISR, FB","No","Yes","Yes","No","No","No","Yes","Yes",NA
"194","Violet batissa","Batissa violacea","Cyrenidea",1,"Not shown outside of native range (Ponder et al. 2020; Mayor et al. 2016).",1,"Not shown to impact conservation habitat.",1,"No indication of adverse ecosystem impacts, likely due to the species residing within native range.",1,"No negative impacts to ecosystem functioning.",4,"No","No","No",NA,"Violet batissa","Mollusc","USFW","No","Yes","No","Yes","Yes","No","uncertain","uncertain",NA
"195","Virile or Northern crayfish","Faxonius virilis","Crustacean",3,"This species is currently in Maine, and with the recent invasions of other crayfish species, it is assumed it could further it's range expansion.",3,"This species has no problem colonizing habitat of high value, and has established themselves in these areas within their native range",2,"This species can have direct impacts on freshwater plants and other benthic invertebrates",3,"Crayfish are known to be habitat eco engineers, where their burrows can cause river bank instability, and their feeding tendencies can have effects on biodiversity of invaded systems",11,"Yes","No","Yes","A full analysis of all potential crayfish invaders, with specific questions about enviro tolerances would be beneficial","Virile crayfish","Arthropod",NA,"Yes","Yes","Yes","No","No","No","Yes","Yes",NA
"196","Volga pikeperch","Sander volgensis or Sander marinus","Percidae",0,"d.d.",0,"d.d.",0,"d.d.",0,"d.d.",0,"No","No","No","There is no iformation available online about this species. I found no USGS, USFW, or CABI records. There was no ITIS page for any of the names listed. Is this a mistake? Was pike-perch (Sander lucioperca) meant to be listed instead? The only thing I found was a FishBase page, which are often inaccurate.","Volga pikeperch","Fish","AISR, FB","No","No","Yes","No","No","No","Yes","Yes",NA
"197","Walking catfish","Clarias batrachus","Clariidae",1,"This is a tropical species with introductions mainly through aquaculture. There is one isolated population established in the Verglades National Park and in Big Cypress National Preserve, but both sites have relatively small populations due to frequent die-offs caused by temperature limits of the species (Nico et al. 2023).",2,"Species is established in some national parks in north-east US (Nico et al. 2023).",2,"Predation on native species by C. batrachus seems to be lessen than that of native fish species. C. batrachus may have socio-econimic impacts on fish farms in southern US where the species preys upon aquaculture species (Nico et al. 2023). However, the significance and breadth of the species' impacts are largely unknown.",1,"No impacts to ecosystem functioning were reported.",6,"No","No","Yes","Should determine species ecological thresholds.","Walking catfish","Fish","AISR, USGS","Yes","No","No","No","No","Yes","uncertain","uncertain",NA
"198","Walleye","Sander vitreus","Percidae",3,"Species is widely distrbuted throughout North America. S. vitreus is frequently introduced to establish new food soruces for human consumers and stocked for sport fishing (Fuller & Neilson 2023). The species' preferrence for large river systems may limit its establishment if introduced to Nova Scotia or PEI. There may be a population of S. vitreus in New Brunsiwck already and the large rivers of New Brunswick would be suitable for this species.",3,"S. vitreus is known to occupy riverine habitat and is currently established within the Columbia River where Pacific salmon spawn (Fuller & Neilson 2023). Something similar would be expected to occur in the Maritimes between walleye and Atlantic salmon if the species was introduced.",3,"S. vitreus has significant impacts on fish assemblages and abundance. A few fish species specifically noted in Fuller & Neilson (2023) has impacted by S. vitreus include Pacific salmon, minnows, darters, suckers, rainbow trout, crayfish, brown trout, yellow perch, and salmonids (both smolt and anadromous, stocked salmonids and native ones).",3,"Due to the changes in fish assemblages and diversity, it is expected that S. vitreus causes food web shifts and loss of biodiversity.",12,"Yes","Yes","Yes","Need to determine suitable habitat for walleye in Atlantic Canada and whether or not those areas over-lap with protected species.","Walleye","Fish","AISR","No","No","Yes","No","No","No","Yes","Yes",NA
"199","Warmouth","Lepomis gulosus","Centrarchidae",1," In Canada, L. gulosus is listed for protection as a species of 'special concern', as populations have been declining (COSEWIC, 2005). This is an indication that it does not have high dispersion potential or invasiveness",1,"With this being a species of special concern, it is unlikely it has the ability to colonize areas of high value as it is struggling its existing population levels",1,"Possible impacts associated with this species’ introduction are competition and hybridization with other Centrarchidae, as well as predation and competition with other native fish species; however, there appears to be little record of the impacts this species has had on invaded regions.",1,"There are no indications that outsized ecosystem impacts are being felt in Ontario where the species is native. It is therefore unlikely that the species would exert such impacts in Nova Scotia",4,"No","No","No",NA,"Warmouth","Fish",NA,"Yes","Yes","Yes","No","No","No","Yes","Yes",NA
"200","Water Blinks","Montia fontana","Montiaceae",1,"This is a self polinating species that seems to be just widespread across the globe. However it is not really an ""invader"". It is even considered an axiophyte in most british counties, meaning it is an important species for conservation. It has been considered introduced in the Faulkland Islands, but no known negative effects.",1,"While this species already occupies areas of ""high value"" it is not truly considered invasive in North America as it is naturalized everywhere.",1,"Does not have strong negative effects on native species. It is even under conservation protection in some areas of britain.",1,"No real concerns regarding the impacts of this species on local ecosystems.",4,"No","No","No",NA,"Water Blinks","Plant",NA,"No","No","No","No","Yes","Yes","Yes","Yes",NA
"201","Water Figwort","Scrophularia auriculata","Scrophulariaceae",1,"Garden Trade. Lack of data on invasiveness",2,"riverbanks, pond margins, damp meadows and wet woodlands",0,"D.D.",0,"D.D.",3,"No","No","Yes","Insufficient data on ecosystem impacts and species impacts. Would benefit from further science advice","Water Figwort","Plant",NA,"No","No","No","No","Yes","Yes","uncertain","uncertain",NA
"202","Water lettuce","Pistia stratiotes","Araceae",2,"Species is widely distributed globally, with species origins unknown but there is a general agreement that it is likely a tropical and sub-tropical species that is capable of adapting to temperate environments. P. stratiotes was introduced through orenmental garden ponds and aquarium release. The species can reproduce through fragmentation or seeds (Thayer et al. 2023). Thermal tolerances may inhibit this species from becoming widely distributed in Canada.",2,"There was no specific mention of P. stratiotes impacting areas of high conservation value, but the species cosmopolitan distribution lends to the theory that it must occassionally inhabit areas of moderate (or even high) conservation value.",3,"P. stratiotes forms dense mats that reduce light penetration and oxygen disfusion in the water column. Furthermore, the species produces a-asarone, which inhibits the growth of algaes. Lastly, the large P. stratiotes mats host mosquito breeding grounds (Thayer et al. 2023).",3,"P. stratiotes presence impacts nutrient cycling, water quality, recreational water use, and native species diversity and richness.",10,"Yes","No","No",NA,"Water lettuce","Plant","USFW, MS","Yes","No","No","Yes","No","Yes","Yes","Yes",NA
